dictNum,BehaviorName,Frequency, Times hit, Time to complete, Enemy Total Attacks, Player Total Attacks, Policy Used
0, Sw, 9, 12, 17.55953, 12, 17, Base
1, Sw, 6, 4, -1, 10, 15, Mixed
